pseudoword,ambiguity_reduction,ambiguity_drop,L1,L2,|synsets_L1|,|synsets_L2|,|synsets_L1_L2|,synsets_intersection
indagare-enquêter,0.6666666666666666,0.4969039949999533,IT,FR,5,1,1,['bn:00087655v']
best-meilleur,0.9473684210526316,0.581479967352994,EN,FR,34,4,1,['bn:00098274a']
consenso-consenso,0.6363636363636364,0.5668240727101569,IT,ES,8,3,2,"['bn:00000994n', 'bn:00021958n']"
message-message,0.7241379310344828,0.6473034704711775,EN,FR,21,8,4,"['bn:00054523n', 'bn:00521573n', 'bn:00022154n', 'bn:03670179n']"
dériver-derivar,0.875,0.4236075534914362,FR,ES,1,15,1,['bn:00083195v']
phenomenon-fenomeno,0.8181818181818182,0.8045444994837002,EN,IT,13,9,2,"['bn:00061932n', 'bn:00061931n']"
tear-strappo,0.8181818181818182,0.8045444994837002,EN,IT,13,9,2,"['bn:03168759n', 'bn:00067126n']"
chair-sedia,0.8947368421052632,0.3995838874295171,EN,IT,18,1,1,['bn:00017515n']
cooperation-coopération,0.6,0.6,EN,FR,5,5,2,"['bn:00022452n', 'bn:00022453n']"
garage-garage,0.7391304347826086,0.5603121515326387,EN,IT,19,4,3,"['bn:00037283n', 'bn:15079156n', 'bn:00541011n']"
creativo-creativo,0.6,0.48,IT,ES,1,4,1,['bn:00100622a']
specie-espèces,0.8333333333333334,0.7856742013183862,IT,FR,8,4,1,['bn:00073210n']
extreme-estremo,0.76,0.7545081576762441,EN,IT,14,11,3,"['bn:00032492n', 'bn:00102658a', 'bn:00032491n']"
Democrat-Democratico,0.8181818181818182,0.7871656793250021,EN,IT,7,4,1,['bn:00026149n']
egg-huevo,0.8333333333333334,0.6211299937499416,EN,ES,30,6,3,"['bn:00008124n', 'bn:00029914n', 'bn:00029913n']"
set-set,0.8651685393258427,0.6299924678416933,EN,IT,75,14,6,"['bn:00070715n', 'bn:00070701n', 'bn:01285442n', 'bn:00009963n', 'bn:00070696n', 'bn:00070700n']"
data-dati,0.8571428571428571,0.7034158342699627,EN,IT,11,3,1,['bn:00025314n']
obviously-évidemment,0.75,0.7261843774138907,EN,FR,3,5,1,['bn:00114319r']
chamber-camera,0.6666666666666666,0.6643478190611888,EN,IT,13,11,4,"['bn:00017581n', 'bn:00068233n', 'bn:00009495n', 'bn:00017582n']"
constant-constante,0.76,0.608,FR,ES,5,20,3,"['bn:00100331a', 'bn:00099407a', 'bn:00099521a']"
pipe-tubo,0.8709677419354839,0.7906840302720037,EN,ES,22,9,2,"['bn:00059468n', 'bn:00062570n']"
initial-inicial,0.7142857142857143,0.6845106053570786,FR,ES,5,9,2,"['bn:00046779n', 'bn:00105119a']"
private-privado,0.8461538461538461,0.8051034653572946,EN,ES,17,9,2,"['bn:00109026a', 'bn:00013585n']"
everything-tout,0.96875,0.6735414641600553,EN,FR,55,9,1,['bn:00958448n']
entrance-entrada,0.8113207547169812,0.7573949814235361,EN,ES,17,36,5,"['bn:00030989n', 'bn:00063658n', 'bn:00031044n', 'bn:00030988n', 'bn:00000663n']"
nice-bello,0.9565217391304348,0.9234012719203014,EN,IT,29,17,1,['bn:00107292a']
costituire-constituyen,0.75,0.4960783708246107,IT,ES,7,1,1,['bn:00083187v']
soldier-soldat,0.9183673469387756,0.6020883200244943,EN,FR,43,6,2,"['bn:00013585n', 'bn:00072698n']"
live-vivre,0.9388646288209608,0.4786822061600932,EN,FR,213,16,7,"['bn:00087844v', 'bn:00087441v', 'bn:00083191v', 'bn:00090408v', 'bn:00090409v', 'bn:00087617v', 'bn:21943453n']"
shooting-ripresa,-1.0,-1.0,EN,IT,9,10,0,[]
shall-deve,-1.0,-1.0,EN,IT,1,2,0,[]
equal-égal,0.7333333333333333,0.5866666666666667,EN,FR,12,3,2,"['bn:00021326n', 'bn:00102336a']"
ground-sol,0.8688524590163934,0.8631127574305673,EN,FR,34,27,4,"['bn:00029425n', 'bn:00027386n', 'bn:00041883n', 'bn:00028934n']"
comitato-commission,0.7777777777777778,0.7332959212304937,IT,FR,6,12,2,"['bn:00019284n', 'bn:00021015n']"
incidente-incidente,0.6923076923076923,0.6902564057475827,IT,ES,7,6,2,"['bn:00046283n', 'bn:00046282n']"
global-globale,0.8333333333333334,0.6211299937499416,ES,IT,10,2,1,['bn:00100536a']
medication-farmaci,0.6666666666666666,0.4969039949999533,EN,IT,5,1,1,['bn:00054128n']
adequate-adeguato,0.7142857142857143,0.7069595132934192,EN,IT,3,4,1,['bn:00096446a']
perform-réaliser,0.875,0.8472151069828725,EN,FR,6,10,1,['bn:00087107v']
burn-bruciare,0.863013698630137,0.5082130498753592,EN,IT,66,7,5,"['bn:00084279v', 'bn:00084270v', 'bn:00084272v', 'bn:00084282v', 'bn:00084283v']"
law-ley,0.8367346938775511,0.7388301655677979,EN,ES,36,13,4,"['bn:00050251n', 'bn:00048655n', 'bn:00050250n', 'bn:00050249n']"
fantasy-fantasia,0.8947368421052632,0.7879900526913731,EN,IT,56,20,4,"['bn:00033616n', 'bn:00033644n', 'bn:00033648n', 'bn:00033647n']"
administration-administración,0.3571428571428571,0.3571428571428571,EN,ES,14,14,9,"['bn:00027355n', 'bn:16707774n', 'bn:00001427n', 'bn:00001423n', 'bn:00053116n', 'bn:00001422n', 'bn:00001425n', 'bn:00001426n', 'bn:00001424n']"
inquinamento-contaminación,0.75,0.649519052838329,IT,ES,2,6,1,['bn:00063385n']
impressionante-impresionante,0.8333333333333334,0.7216878364870323,IT,ES,3,9,1,['bn:00104701a']
measurement-misura,0.8823529411764706,0.6727412489696741,EN,IT,3,14,1,['bn:00054019n']
noise-rumore,0.7818181818181819,0.7101749789914212,EN,IT,39,16,6,"['bn:00057863n', 'bn:00057867n', 'bn:00027819n', 'bn:02011185n', 'bn:14205953n', 'bn:02698882n']"
shelter-refugio,0.8775510204081632,0.8230443775131536,EN,ES,33,16,3,"['bn:00071019n', 'bn:00071020n', 'bn:00071022n']"
strengthen-rafforzare,0.8333333333333334,0.7856742013183862,EN,IT,4,8,1,['bn:00083317v']
diversity-diversità,0.875,0.7577722283113838,EN,IT,12,4,1,['bn:00027862n']
technology-tecnologia,0.6363636363636364,0.6122399728083351,EN,IT,7,4,2,"['bn:00030858n', 'bn:00005105n']"
contribuire-contribuir,0.4285714285714285,0.4241757079760516,IT,ES,4,3,2,"['bn:00082319v', 'bn:00084904v']"
vista-ver,0.9661016949152542,0.9251289547073318,IT,ES,21,38,1,['bn:00009669n']
odd-impair,0.9,0.6427285585688566,EN,FR,17,3,1,['bn:00060686n']
purchase-comprar,0.8823529411764706,0.8808250561493325,EN,ES,8,9,1,['bn:00084331v']
or-o,0.9555555555555556,0.9362494127971258,EN,ES,27,18,1,['bn:00058390n']
what-cosa,-1.0,-1.0,EN,IT,4,25,0,[]
divertissement-entretenimiento,0.8461538461538461,0.7810650887573964,FR,ES,9,4,1,['bn:00003693n']
sue-sue,0.8461538461538461,0.4509481392487017,EN,ES,12,1,1,['bn:13967730n']
publication-publicación,0.3333333333333333,0.3312693299999689,FR,ES,4,5,3,"['bn:00047693n', 'bn:00065106n', 'bn:00065108n']"
draw-dibujar,0.8032786885245902,0.5120499234968855,EN,ES,54,7,6,"['bn:00087238v', 'bn:00087248v', 'bn:00087242v', 'bn:00087245v', 'bn:00086525v', 'bn:00087243v']"
sacred-sacro,0.8260869565217391,0.7868981922569495,EN,IT,15,8,2,"['bn:00110031a', 'bn:00044420n']"
majority-maggioranza,0.5,0.4330127018922193,EN,IT,6,2,2,"['bn:00000445n', 'bn:00013767n']"
category-catégorie,0.7,0.696491205974634,EN,FR,11,9,3,"['bn:00016734n', 'bn:00041305n', 'bn:00016733n']"
jury-jurado,0.8,0.7838367176906169,FR,ES,4,6,1,['bn:00048658n']
normal-normale,0.7037037037037037,0.6796425004052145,ES,IT,17,10,4,"['bn:00972865n', 'bn:00022334n', 'bn:00107587a', 'bn:00113459a']"
blade-lama,0.9322033898305084,0.8711550489686437,EN,IT,40,19,2,"['bn:00011086n', 'bn:00011081n']"
staff-personal,0.8787878787878788,0.8751489899531579,EN,ES,15,18,2,"['bn:00073801n', 'bn:00073805n']"
intelligence-intelligenza,0.8888888888888888,0.8380524814062785,EN,IT,12,6,1,['bn:00047025n']
bullet-proiettile,0.9148936170212766,0.5641731100825222,EN,IT,42,5,2,"['bn:03415182n', 'bn:00013807n']"
consulente-conseiller,0.8181818181818182,0.6311366311417118,IT,FR,2,9,1,['bn:00001598n']
elderly-ancianos,0.6,0.5878775382679627,EN,ES,2,3,1,['bn:00001952n']
odds-probabilidades,0.7777777777777778,0.6467062149979652,EN,ES,7,2,1,['bn:00010163n']
Indian-Indien,0.7777777777777778,0.681688205460038,EN,FR,20,7,3,"['bn:00003418n', 'bn:00104941a', 'bn:00046430n']"
grado-degré,0.6666666666666666,0.5972042776517443,ES,FR,26,10,6,"['bn:00338017n', 'bn:00005380n', 'bn:00578076n', 'bn:00025965n', 'bn:00025966n', 'bn:00025968n']"
alone-solo,0.9230769230769232,0.7489020709170296,EN,ES,103,27,5,"['bn:00114235r', 'bn:15930731n', 'bn:23808826n', 'bn:00110682a', 'bn:00114234r']"
esistente-existant,0.6666666666666666,0.628539361054709,IT,FR,2,4,1,['bn:00102542a']
something-qualcosa,0.8947368421052632,0.3995838874295171,EN,IT,18,1,1,['bn:00031027n']
education-educazione,0.8222222222222222,0.727200694774221,EN,IT,33,12,4,"['bn:00029808n', 'bn:00012992n', 'bn:00026980n', 'bn:00029807n']"
film-film,0.7222222222222222,0.7121207146323613,EN,IT,21,15,5,"['bn:00034472n', 'bn:00034474n', 'bn:00735555n', 'bn:00034471n', 'bn:00017056n']"
sugar-sucre,0.9565217391304348,0.9287706078465038,EN,FR,57,35,2,"['bn:00015853n', 'bn:00066804n']"
tournament-torneo,0.5714285714285714,0.5714285714285714,EN,ES,7,7,3,"['bn:00077751n', 'bn:00077750n', 'bn:00634498n']"
variable-variabile,0.3684210526315789,0.3679104202965981,ES,IT,10,9,6,"['bn:00079580n', 'bn:00099514a', 'bn:02394228n', 'bn:00079583n', 'bn:00113501a', 'bn:00113502a']"
volunteer-volontaire,0.8620689655172413,0.7705993696085446,EN,FR,21,8,2,"['bn:02438777n', 'bn:00054991n']"
strategico-estratégico,0.6,0.5878775382679627,IT,ES,2,3,1,['bn:00111285a']
importante-importante,0.5294117647058824,0.5059954715690218,IT,ES,6,11,4,"['bn:00098345a', 'bn:00104681a', 'bn:00104680a', 'bn:00106333a']"
respond-répondre,0.7333333333333333,0.7185169912163989,EN,FR,6,9,2,"['bn:00082646v', 'bn:00092421v']"
ingredient-ingrédient,0.25,0.25,EN,FR,4,4,3,"['bn:00034946n', 'bn:00021394n', 'bn:00046750n']"
golf-golf,0.6666666666666666,0.6425258797689316,EN,IT,19,11,5,"['bn:00231708n', 'bn:00215912n', 'bn:02452418n', 'bn:00041010n', 'bn:00496979n']"
trick-trucco,0.9393939393939394,0.8367402978102317,EN,IT,24,9,1,['bn:00033750n']
totally-totalement,0.75,0.7261843774138907,EN,FR,5,3,1,['bn:00114203r']
borrow-emprunter,0.3333333333333333,0.3142696805273545,EN,FR,2,1,1,['bn:00083803v']
lovely-precioso,0.8620689655172413,0.7976461275266788,EN,ES,20,9,2,"['bn:00023356n', 'bn:00106201a']"
porzione-porción,0.8571428571428571,0.7744353453473583,IT,ES,4,10,1,['bn:00043637n']
crew-equipaggio,0.68,0.544,EN,IT,20,5,4,"['bn:00023776n', 'bn:00023774n', 'bn:00002215n', 'bn:00023775n']"
ambiente-medio ambiente,0.7894736842105263,0.5757509609647237,IT,ES,16,3,2,"['bn:00031075n', 'bn:00995448n']"
episode-episodio,0.4666666666666667,0.4399775527382962,EN,ES,10,5,4,"['bn:00031225n', 'bn:00031227n', 'bn:00031226n', 'bn:00031224n']"
dirt-saleté,0.9310344827586208,0.4718398791092448,EN,FR,27,2,1,['bn:00027386n']
meanwhile-nel frattempo,0.7142857142857143,0.5861798618916356,EN,IT,11,3,2,"['bn:00047097n', 'bn:15524074n']"
pop-pop,0.8181818181818182,0.5935214186253622,EN,IT,65,12,7,"['bn:01322283n', 'bn:16981223n', 'bn:01617919n', 'bn:15972592n', 'bn:00063557n', 'bn:03791418n', 'bn:03159734n']"
paint-peinture,0.9393939393939394,0.9389625299845544,EN,FR,17,16,1,['bn:00060187n']
involved-coinvolto,0.75,0.4960783708246107,EN,IT,7,1,1,['bn:00105394a']
discussion-debate,0.7777777777777778,0.7729617699999274,FR,ES,4,5,1,['bn:00027544n']
prefer-preferiscono,0.7142857142857143,0.499895865874118,EN,IT,6,1,1,['bn:00091949v']
regime-régime,0.8333333333333334,0.8333333333333334,IT,FR,6,6,1,['bn:00007299n']
stress-stress,0.5882352941176471,0.4990382388185452,EN,IT,26,8,7,"['bn:13805288n', 'bn:14661163n', 'bn:00000641n', 'bn:00074519n', 'bn:00074634n', 'bn:00074633n', 'bn:15380850n']"
western-occidentale,0.9090909090909092,0.6239532591132851,EN,IT,38,6,2,"['bn:00113813a', 'bn:00113812a']"
organic-organico,0.875,0.5787580992953792,EN,IT,14,2,1,['bn:00107964a']
emergency-emergencia,0.9393939393939394,0.8367402978102317,EN,ES,24,9,1,['bn:00030525n']
client-client,0.4782608695652174,0.474175035012874,EN,FR,10,13,6,"['bn:00019762n', 'bn:02718718n', 'bn:00500107n', 'bn:01188989n', 'bn:00019763n', 'bn:00019764n']"
assunzione-supuesto,0.9047619047619048,0.9037355154300626,IT,ES,11,10,1,['bn:00006559n']
this-questo,-1.0,-1.0,EN,IT,15,2,0,[]
fully-completamente,0.7777777777777778,0.7729617699999274,EN,IT,4,5,1,['bn:00115474r']
campionato-liga,0.8823529411764706,0.5685701288980963,IT,ES,2,15,1,['bn:00021722n']
direct-direct,0.8974358974358975,0.7837324428762973,EN,FR,29,10,2,"['bn:00101411a', 'bn:00101420a']"
duro-dur,0.7894736842105263,0.671280931637265,ES,FR,29,9,4,"['bn:00029185n', 'bn:00101358a', 'bn:00103937a', 'bn:00103943a']"
intend-intendere,0.5384615384615384,0.5368660933592311,EN,IT,6,7,3,"['bn:00089805v', 'bn:00089804v', 'bn:00089806v']"
conduct-condotta,0.8260869565217391,0.8063307033879571,EN,IT,14,9,2,"['bn:00009654n', 'bn:00009656n']"
professor-professeur,0.84,0.7543181291736266,EN,FR,18,7,2,"['bn:00046958n', 'bn:00064601n']"
sample-muestra,0.7777777777777778,0.7583302557005538,EN,ES,14,22,4,"['bn:00069080n', 'bn:00069079n', 'bn:00069078n', 'bn:00069086n']"
rule-regola,0.7560975609756098,0.6493888432021764,EN,IT,31,10,5,"['bn:00066933n', 'bn:00035963n', 'bn:00022334n', 'bn:00064192n', 'bn:00051392n']"
dente-dent,0.5789473684210527,0.5716850233579804,IT,FR,8,11,4,"['bn:00077344n', 'bn:00064719n', 'bn:00077593n', 'bn:00077595n']"
nation-nazione,0.6666666666666666,0.628539361054709,FR,IT,8,4,2,"['bn:00741313n', 'bn:00023236n']"
session-session,0.4166666666666667,0.3928371006591931,EN,FR,16,8,7,"['bn:03270980n', 'bn:21517260n', 'bn:00070690n', 'bn:00000561n', 'bn:00070689n', 'bn:00070034n', 'bn:03751534n']"
twenty-vingt,0.7777777777777778,0.4888639474869958,EN,FR,16,2,2,"['bn:00000079n', 'bn:00095952a']"
aside-a un lado,0.8333333333333334,0.4606423319938055,EN,ES,11,1,1,['bn:00114309r']
birth-nascita,0.7692307692307693,0.6481923757457587,EN,IT,20,6,3,"['bn:00010664n', 'bn:00010665n', 'bn:00000735n']"
herself-se stessa,-1.0,-1.0,EN,IT,4,0,0,[]
hip-anca,0.7931034482758621,0.6787693076285131,EN,IT,22,7,3,"['bn:00044198n', 'bn:00006138n', 'bn:00044197n']"
tap-rubinetto,0.925925925925926,0.4241878215656029,EN,IT,51,3,2,"['bn:00033813n', 'bn:00045342n']"
ordinary-ordinario,0.8666666666666667,0.8491564441648352,EN,ES,18,12,2,"['bn:00059442n', 'bn:00107963a']"
terrible-terribile,0.8333333333333334,0.6211299937499416,ES,IT,10,2,1,['bn:00097890a']
gifted-superdotado,0.8571428571428571,0.5998750390489416,EN,ES,12,2,1,['bn:03123831n']
devote-consacrer,0.7777777777777778,0.7729617699999274,EN,FR,4,5,1,['bn:00085427v']
originally-originalmente,0.1428571428571428,0.1413919026586838,EN,ES,4,3,3,"['bn:00116472r', 'bn:00115151r', 'bn:00115832r']"
occasionnellement-ocasionalmente,0.5,0.5,FR,ES,2,2,1,['bn:00114431r']
barely-appena,0.6363636363636364,0.6122399728083351,EN,IT,4,7,2,"['bn:00114504r', 'bn:00115599r']"
proposed-proposto,-1.0,-1.0,EN,IT,0,1,0,[]
de-de,0.6,0.6,FR,ES,10,10,4,"['bn:03294100n', 'bn:00025475n', 'bn:03731513n', 'bn:00040293n']"
next-suivant,0.9607843137254902,0.516612188265515,EN,FR,47,4,1,['bn:00103172a']
rural-rural,0.4545454545454545,0.404874337650112,EN,FR,8,3,3,"['bn:00109998a', 'bn:00023237n', 'bn:00109997a']"
climb-salita,-1.0,-1.0,ES,IT,0,6,0,[]
battle-batalla,0.7777777777777778,0.6967383239270352,EN,ES,26,10,4,"['bn:00009078n', 'bn:00020858n', 'bn:00009080n', 'bn:00009079n']"
native-natif,0.8571428571428571,0.4414960745466109,EN,FR,13,1,1,['bn:00000367n']
survey-sondaggio,0.9,0.7794228634059948,EN,IT,15,5,1,['bn:02081663n']
follow-seguire,0.5348837209302325,0.5012841088491372,EN,IT,29,14,10,"['bn:00088423v', 'bn:00088020v', 'bn:00088421v', 'bn:00088422v', 'bn:00088424v', 'bn:00085342v', 'bn:00082139v', 'bn:00088427v', 'bn:00082379v', 'bn:00085593v']"
investire-invertir,0.7894736842105263,0.6437091434139751,IT,ES,4,15,2,"['bn:00047358n', 'bn:00085429v']"
economy-economía,0.8823529411764706,0.5685701288980962,EN,ES,45,6,3,"['bn:00029683n', 'bn:00029678n', 'bn:00029684n']"
gas-gas,0.65,0.5804685607334819,EN,IT,29,11,7,"['bn:00796932n', 'bn:00037383n', 'bn:00271121n', 'bn:00037384n', 'bn:01115077n', 'bn:00037385n', 'bn:00037382n']"
pet-mascota,0.925925925925926,0.7193476324898159,EN,ES,22,5,1,['bn:00061787n']
fall-otoño,0.9529411764705882,0.4881646576119741,EN,ES,79,6,2,"['bn:00007406n', 'bn:02714209n']"
control-contrôle,0.6666666666666666,0.6454972243679028,ES,FR,30,18,8,"['bn:00022287n', 'bn:00006248n', 'bn:00022284n', 'bn:00018018n', 'bn:00022291n', 'bn:00020947n', 'bn:00022285n', 'bn:00022283n']"
moral-morale,0.6,0.5878775382679627,ES,FR,12,8,4,"['bn:00055860n', 'bn:00031709n', 'bn:00050794n', 'bn:00031712n']"
opposition-opposizione,0.6190476190476191,0.6012449313079927,FR,IT,13,8,4,"['bn:01337176n', 'bn:00059195n', 'bn:03153454n', 'bn:00059192n']"
he-he,0.7333333333333333,0.6203304575330877,EN,ES,23,7,4,"['bn:14315079n', 'bn:01624679n', 'bn:00006849n', 'bn:03298688n']"
myself-me stesso,-1.0,-1.0,EN,IT,10,0,0,[]
worth-valore,0.8666666666666667,0.856116859323281,EN,IT,26,19,3,"['bn:00081660n', 'bn:00029680n', 'bn:00054453n']"
analysis-analisi,0.6666666666666666,0.6666666666666666,EN,IT,12,12,4,"['bn:00003798n', 'bn:00003793n', 'bn:00003797n', 'bn:00003794n']"
boat-barco,0.9166666666666666,0.8875586835058663,EN,ES,15,9,1,['bn:00011674n']
respiro-aliento,0.8095238095238095,0.7314111594947272,IT,ES,15,6,2,"['bn:00012973n', 'bn:00012966n']"
musical-musicale,0.6363636363636364,0.6337285789315972,ES,IT,6,5,2,"['bn:00107056a', 'bn:00056458n']"
telescope-telescopio,0.8333333333333334,0.7216878364870323,EN,ES,9,3,1,['bn:00069738n']
consistent-coherente,0.8181818181818182,0.7871656793250021,EN,ES,7,4,1,['bn:00099970a']
branch-ramo,0.9069767441860463,0.7058894761455694,EN,IT,35,8,2,"['bn:00005706n', 'bn:00012738n']"
oven-four,0.8181818181818182,0.4704214701076928,EN,FR,1,10,1,['bn:00059829n']
mechanism-mecanismo,0.4444444444444444,0.4416924399999585,EN,ES,10,8,5,"['bn:00054065n', 'bn:00054061n', 'bn:00054063n', 'bn:00118732n', 'bn:00018115n']"
